genoName,genoStart,genoEnd,strand,repName,repClass,repFamily,repStart,repEnd
chrY,21249209,21249345,-,HERV1_LTRe,LTR,ERV1,0,537
chrY,21249638,21249903,-,HERV1_LTRe,LTR,ERV1,-132,405
chr11,344149,344266,+,HERV1_LTRe,LTR,ERV1,419,537
chr12,8887288,8887695,+,HERV1_LTRe,LTR,ERV1,144,537
chr13,108816404,108816822,+,HERV1_LTRe,LTR,ERV1,127,537
chr14,20176979,20177105,-,HERV1_LTRe,LTR,ERV1,0,537
chr14,20177436,20177742,-,HERV1_LTRe,LTR,ERV1,-120,417
chr14,29647749,29648164,-,HERV1_LTRe,LTR,ERV1,0,537
chr14,29650532,29650938,-,HERV1_LTRe,LTR,ERV1,0,537
chr14,45757637,45758055,+,HERV1_LTRe,LTR,ERV1,98,533
chr15,23987510,23987985,-,HERV1_LTRe,LTR,ERV1,0,537
chr16,22228519,22228810,-,HERV1_LTRe,LTR,ERV1,-24,513
chr16,32240706,32241003,-,HERV1_LTRe,LTR,ERV1,-13,524
chr16,32688423,32688720,+,HERV1_LTRe,LTR,ERV1,210,524
chr16,33181674,33181972,-,HERV1_LTRe,LTR,ERV1,-13,524
chr16,33291754,33292052,-,HERV1_LTRe,LTR,ERV1,-13,524
chr16,33348283,33348580,-,HERV1_LTRe,LTR,ERV1,-13,524
chr16,33447054,33447351,-,HERV1_LTRe,LTR,ERV1,-13,524
chr17,69093178,69093714,+,HERV1_LTRe,LTR,ERV1,1,537
chr18,11544201,11544596,-,HERV1_LTRe,LTR,ERV1,0,537
chr19,22484125,22484533,-,HERV1_LTRe,LTR,ERV1,0,537
chr22,46180283,46180794,+,HERV1_LTRe,LTR,ERV1,11,537
chr16_KI270728v1_random,4643,4940,-,HERV1_LTRe,LTR,ERV1,-13,524
chr16_KI270728v1_random,948777,949074,+,HERV1_LTRe,LTR,ERV1,210,524
chr2,26298403,26299683,+,HERV15-int,LTR,ERV1,1,1268
chr2,26299720,26300034,+,HERV15-int,LTR,ERV1,1063,1387
chr2,26300023,26301463,+,HERV15-int,LTR,ERV1,1932,3377
chr2,26301463,26304444,+,HERV15-int,LTR,ERV1,3776,6762
chr2,26304437,26305540,+,HERV15-int,LTR,ERV1,6982,8071
chr2,26305520,26305910,+,HERV15-int,LTR,ERV1,8343,8735
chr3,32967703,32968074,+,HERV15-int,LTR,ERV1,21,389
chr3,32968066,32970822,+,HERV15-int,LTR,ERV1,3495,6056
chr3,32970828,32972748,+,HERV15-int,LTR,ERV1,6814,8734
chr3,39348687,39352664,+,HERV15-int,LTR,ERV1,4753,8734
chr6,166004974,166005081,-,HERV15-int,LTR,ERV1,-1329,7406
chr7,50069350,50070586,-,HERV15-int,LTR,ERV1,-7653,1148
chr7,50063324,50064022,-,HERV15-int,LTR,ERV1,-1,8734
chr7,50065098,50067187,-,HERV15-int,LTR,ERV1,-688,8047
chr7,50067171,50067741,-,HERV15-int,LTR,ERV1,-3650,4776
chr7,50067734,50067879,-,HERV15-int,LTR,ERV1,-4344,4082
chr7,50067887,50067920,-,HERV15-int,LTR,ERV1,-2407,6328
chr7,50067956,50069026,-,HERV15-int,LTR,ERV1,-6018,2408
chr7,50069016,50069352,-,HERV15-int,LTR,ERV1,-7039,1387
chr7,99833670,99836055,-,HERV15-int,LTR,ERV1,-5,8730
chr7,99836034,99836190,+,HERV15-int,LTR,ERV1,1325,1483
chr7,135180557,135181466,+,HERV15-int,LTR,ERV1,7833,8734
chr9,33693673,33693750,-,HERV15-int,LTR,ERV1,-5771,2964
chrX,49308268,49309527,+,HERV15-int,LTR,ERV1,1,1289
chrX,49309605,49309925,+,HERV15-int,LTR,ERV1,1063,1387
chrX,49309914,49311349,+,HERV15-int,LTR,ERV1,1932,3377
chrX,49311349,49314302,+,HERV15-int,LTR,ERV1,3776,6762
chrX,49314295,49316052,+,HERV15-int,LTR,ERV1,6982,8735
chrX,120080398,120083060,-,HERV15-int,LTR,ERV1,-1,8734
chrX,120083365,120087101,-,HERV15-int,LTR,ERV1,-2659,6076
chrX,120087082,120088215,-,HERV15-int,LTR,ERV1,-7437,1298
chrX,120146890,120152937,+,HERV15-int,LTR,ERV1,1,6076
chrX,120153243,120155905,+,HERV15-int,LTR,ERV1,6077,8734
chrY,12312194,12320968,+,HERV15-int,LTR,ERV1,1,8735
chrY,13111540,13118922,+,HERV15-int,LTR,ERV1,1,7373
chrY,13120461,13121826,+,HERV15-int,LTR,ERV1,7371,8735
chrY,15423460,15424763,+,HERV15-int,LTR,ERV1,1,1201
chrY,15424765,15425095,+,HERV15-int,LTR,ERV1,1046,1387
chrY,15425085,15425259,+,HERV15-int,LTR,ERV1,1704,1880
chrY,15425249,15426000,+,HERV15-int,LTR,ERV1,4600,5359
chrY,15432133,15432474,+,HERV15-int,LTR,ERV1,5414,5754
chrY,15434541,15434773,+,HERV15-int,LTR,ERV1,6086,6321
chrY,15434872,15437182,+,HERV15-int,LTR,ERV1,6421,8734
chrY,17477773,17480025,-,HERV15-int,LTR,ERV1,-85,8650
chrY,17480015,17485260,-,HERV15-int,LTR,ERV1,-3512,5223
chrY,18420746,18425991,+,HERV15-int,LTR,ERV1,1,5223
chrY,18425981,18428233,+,HERV15-int,LTR,ERV1,6388,8650
chrY,20989807,20991088,+,HERV15-int,LTR,ERV1,1,1190
chrY,20991421,20991833,+,HERV15-int,LTR,ERV1,1704,2119
chrY,20991967,20992559,+,HERV15-int,LTR,ERV1,3491,4082
chrY,20992603,20996083,+,HERV15-int,LTR,ERV1,4520,7973
chrY,21988788,21989537,-,HERV15-int,LTR,ERV1,-1093,7642
chrY,22596857,22597606,+,HERV15-int,LTR,ERV1,6770,7642
chrY,23598076,23598825,-,HERV15-int,LTR,ERV1,-1093,7642
chrY,26071254,26072003,+,HERV15-int,LTR,ERV1,6770,7642
chr11,55501072,55502319,+,HERV15-int,LTR,ERV1,1,1296
chr11,55502300,55504392,+,HERV15-int,LTR,ERV1,2313,4407
chr11,63208064,63211587,+,HERV15-int,LTR,ERV1,1,3619
chr11,63212817,63213961,+,HERV15-int,LTR,ERV1,3605,4759
chr11,63213958,63214395,+,HERV15-int,LTR,ERV1,8294,8734
chr11,67685980,67686673,-,HERV15-int,LTR,ERV1,0,8735
chr12,10363811,10364665,+,HERV15-int,LTR,ERV1,1,891
chr12,10364697,10365420,+,HERV15-int,LTR,ERV1,705,1387
chr12,10365410,10366067,+,HERV15-int,LTR,ERV1,1704,2372
chr12,10366040,10366620,+,HERV15-int,LTR,ERV1,3495,4082
chr12,10366613,10367445,+,HERV15-int,LTR,ERV1,4210,5026
chr12,10367427,10367931,+,HERV15-int,LTR,ERV1,8231,8734
chr12,34118238,34123355,-,HERV15-int,LTR,ERV1,0,8735
chr12,34123643,34127280,-,HERV15-int,LTR,ERV1,-5128,3607
chr15,52416362,52416419,+,HERV15-int,LTR,ERV1,2687,2747
chr16,41496,42751,+,HERV15-int,LTR,ERV1,1,1302
chr16,42728,43450,+,HERV15-int,LTR,ERV1,2313,3031
chr16,20674608,20676244,+,HERV15-int,LTR,ERV1,1,1385
chr16,20676236,20676920,+,HERV15-int,LTR,ERV1,1704,2371
chr16,20676894,20677481,+,HERV15-int,LTR,ERV1,3495,4082
chr16,20677537,20678011,+,HERV15-int,LTR,ERV1,4533,5020
chr16,20678043,20681722,+,HERV15-int,LTR,ERV1,5021,8735
chr19,21198011,21206659,-,HERV15-int,LTR,ERV1,-1,8734
chr19,21253331,21258893,+,HERV15-int,LTR,ERV1,19,5674
chr19,21262034,21263005,+,HERV15-int,LTR,ERV1,5666,6637
chr19,21262998,21263789,+,HERV15-int,LTR,ERV1,7945,8734
chr19,21604582,21605497,+,HERV15-int,LTR,ERV1,1063,2297
chr19,21605811,21606203,+,HERV15-int,LTR,ERV1,2298,2408
chr19,21607477,21609470,+,HERV15-int,LTR,ERV1,3815,5817
chr19,21609776,21610466,+,HERV15-int,LTR,ERV1,5818,6506
chr19,21610459,21612185,+,HERV15-int,LTR,ERV1,6982,8734
chr21,5749657,5751244,-,HERV15-int,LTR,ERV1,-1,8734
chr21,5751241,5753689,-,HERV15-int,LTR,ERV1,-1753,6982
chr21,5753732,5754328,-,HERV15-int,LTR,ERV1,-4344,4082
chr21,5754405,5755019,-,HERV15-int,LTR,ERV1,-6112,2314
chr21,5755008,5755938,-,HERV15-int,LTR,ERV1,-7039,1387
chr21,5870241,5871828,-,HERV15-int,LTR,ERV1,-1,8734
chr21,5871825,5874273,-,HERV15-int,LTR,ERV1,-1753,6982
chr21,5874316,5874912,-,HERV15-int,LTR,ERV1,-4344,4082
chr21,5874989,5875603,-,HERV15-int,LTR,ERV1,-6112,2314
chr21,5875592,5876522,-,HERV15-int,LTR,ERV1,-7039,1387
chr21,7568538,7569468,+,HERV15-int,LTR,ERV1,430,1387
chr21,7569457,7570071,+,HERV15-int,LTR,ERV1,1701,2314
chr21,7570148,7570744,+,HERV15-int,LTR,ERV1,3492,4082
chr21,7570787,7573235,+,HERV15-int,LTR,ERV1,4520,6982
chr21,7573232,7574819,+,HERV15-int,LTR,ERV1,7158,8734
chr21,8147727,8149314,-,HERV15-int,LTR,ERV1,-1,8734
chr21,8149311,8151759,-,HERV15-int,LTR,ERV1,-1753,6982
chr21,8151802,8152398,-,HERV15-int,LTR,ERV1,-4344,4082
chr21,8152475,8153089,-,HERV15-int,LTR,ERV1,-6112,2314
chr21,8153078,8154008,-,HERV15-int,LTR,ERV1,-7039,1387
chr21,8330772,8334804,-,HERV15-int,LTR,ERV1,-1,8734
chr21,8334847,8335443,-,HERV15-int,LTR,ERV1,-4344,4082
chr21,8335520,8336134,-,HERV15-int,LTR,ERV1,-6112,2314
chr21,8336123,8336422,-,HERV15-int,LTR,ERV1,-7039,1387
chr21,8336433,8337053,-,HERV15-int,LTR,ERV1,-7463,1272
chrUn_GL000220v1,47226,48804,-,HERV15-int,LTR,ERV1,-1,8734
chrUn_GL000220v1,48801,51249,-,HERV15-int,LTR,ERV1,-1753,6982
chrUn_GL000220v1,51292,51889,-,HERV15-int,LTR,ERV1,-4344,4082
chrUn_GL000220v1,51966,52580,-,HERV15-int,LTR,ERV1,-6112,2314
chrUn_GL000220v1,52569,53499,-,HERV15-int,LTR,ERV1,-7039,1387
chr22_KI270733v1_random,64154,65732,-,HERV15-int,LTR,ERV1,-1,8734
chr22_KI270733v1_random,65729,68178,-,HERV15-int,LTR,ERV1,-1753,6982
chr22_KI270733v1_random,68221,68817,-,HERV15-int,LTR,ERV1,-4344,4082
chr22_KI270733v1_random,68894,69508,-,HERV15-int,LTR,ERV1,-6112,2314
chr22_KI270733v1_random,69497,70427,-,HERV15-int,LTR,ERV1,-7039,1387
chr1,906473,906556,-,HERV16-int,LTR,ERVL,-4568,428
chr1,2009837,2010126,+,HERV16-int,LTR,ERVL,3,308
chr1,2010440,2010935,+,HERV16-int,LTR,ERVL,309,804
chr1,4254639,4255755,+,HERV16-int,LTR,ERVL,2020,3095
chr1,4342523,4342851,+,HERV16-int,LTR,ERVL,2646,2976
chr1,6411050,6411736,+,HERV16-int,LTR,ERVL,1579,2329
chr1,6412884,6412949,+,HERV16-int,LTR,ERVL,2313,2377
chr1,19571429,19571653,-,HERV16-int,LTR,ERVL,-4761,235
chr1,35646205,35646494,+,HERV16-int,LTR,ERVL,2,292
chr1,38143730,38144383,+,HERV16-int,LTR,ERVL,1,664
chr1,38151013,38151074,+,HERV16-int,LTR,ERVL,747,807
chr1,38236670,38236991,-,HERV16-int,LTR,ERVL,-4345,651
chr1,48509288,48509939,+,HERV16-int,LTR,ERVL,1663,2344
chr1,48509930,48510184,+,HERV16-int,LTR,ERVL,2163,2423
chr1,48510182,48510381,+,HERV16-int,LTR,ERVL,2533,2734
chr1,49630755,49630848,+,HERV16-int,LTR,ERVL,1281,1372
chr1,50378198,50378440,+,HERV16-int,LTR,ERVL,344,574
chr1,50378520,50379685,+,HERV16-int,LTR,ERVL,751,1920
chr1,50385845,50386662,+,HERV16-int,LTR,ERVL,1917,2791
chr1,50387048,50387194,+,HERV16-int,LTR,ERVL,2792,2927
chr1,52100165,52100202,-,HERV16-int,LTR,ERVL,-3367,2300
chr1,52100509,52101162,-,HERV16-int,LTR,ERVL,-2659,2337
chr1,52102360,52102392,-,HERV16-int,LTR,ERVL,-4054,1613
chr1,52102662,52103851,-,HERV16-int,LTR,ERVL,-4079,1588
chr1,52104163,52104178,-,HERV16-int,LTR,ERVL,-4669,327
chr1,52104489,52104790,-,HERV16-int,LTR,ERVL,-4682,314
chr1,55409809,55409950,-,HERV16-int,LTR,ERVL,-4459,1208
chr1,58990246,58991426,-,HERV16-int,LTR,ERVL,-3788,1208
chr1,60535389,60535507,-,HERV16-int,LTR,ERVL,-4862,134
chr1,61609166,61610974,+,HERV16-int,LTR,ERVL,455,2308
chr1,76800912,76802665,+,HERV16-int,LTR,ERVL,1,1853
chr1,76803509,76804273,+,HERV16-int,LTR,ERVL,1861,2637
chr1,76804258,76804875,+,HERV16-int,LTR,ERVL,3196,3871
chr1,80355463,80356022,+,HERV16-int,LTR,ERVL,8,578
chr1,80962508,80962727,+,HERV16-int,LTR,ERVL,278,497
chr1,80965546,80965928,+,HERV16-int,LTR,ERVL,732,1119
chr1,83207011,83207294,+,HERV16-int,LTR,ERVL,367,649
chr1,83207511,83207900,+,HERV16-int,LTR,ERVL,909,1295
chr1,84360037,84360304,-,HERV16-int,LTR,ERVL,-2106,2890
chr1,87159419,87159634,+,HERV16-int,LTR,ERVL,1,220
chr1,87159704,87160579,+,HERV16-int,LTR,ERVL,329,1241
chr1,89386835,89387381,+,HERV16-int,LTR,ERVL,1361,2052
chr1,94716632,94716745,-,HERV16-int,LTR,ERVL,-2166,2830
chr1,95667037,95667222,+,HERV16-int,LTR,ERVL,3,196
chr1,99452780,99453511,+,HERV16-int,LTR,ERVL,2288,3046
chr1,103405553,103406071,+,HERV16-int,LTR,ERVL,10,553
chr1,103406329,103406454,+,HERV16-int,LTR,ERVL,920,1056
chr1,103406792,103406911,+,HERV16-int,LTR,ERVL,1057,1172
chr1,103407158,103407418,+,HERV16-int,LTR,ERVL,1621,1888
chr1,104083422,104083783,+,HERV16-int,LTR,ERVL,798,1168
chr1,104084083,104084338,+,HERV16-int,LTR,ERVL,1440,1710
chr1,106722420,106722689,-,HERV16-int,LTR,ERVL,-2987,2009
chr1,107116979,107117196,+,HERV16-int,LTR,ERVL,1,239
chr1,107117334,107117501,+,HERV16-int,LTR,ERVL,412,596
chr1,107117943,107118175,+,HERV16-int,LTR,ERVL,1168,1423
chr1,112119650,112119740,+,HERV16-int,LTR,ERVL,1,93
chr1,115246295,115247683,-,HERV16-int,LTR,ERVL,-3574,1422
chr1,151740102,151741005,+,HERV16-int,LTR,ERVL,1,988
chr1,151741308,151741385,+,HERV16-int,LTR,ERVL,989,1056
chr1,151741987,151742109,+,HERV16-int,LTR,ERVL,1057,1174
chr1,151742242,151742644,+,HERV16-int,LTR,ERVL,1175,1574
chr1,152917310,152917714,-,HERV16-int,LTR,ERVL,-2177,2819
chr1,152920030,152920321,-,HERV16-int,LTR,ERVL,-2605,2391
chr1,152920614,152921009,-,HERV16-int,LTR,ERVL,-2913,2083
chr1,152921374,152921899,-,HERV16-int,LTR,ERVL,-4052,1662
chr1,152922468,152922821,-,HERV16-int,LTR,ERVL,-4574,422
chr1,153432978,153433104,-,HERV16-int,LTR,ERVL,-3981,1015
chr1,153433112,153433354,+,HERV16-int,LTR,ERVL,1332,1578
chr1,153433952,153434203,+,HERV16-int,LTR,ERVL,1630,1890
chr1,154307490,154307753,-,HERV16-int,LTR,ERVL,-3015,2639
chr1,164146916,164147441,-,HERV16-int,LTR,ERVL,-3663,1333
chr1,166014406,166015029,+,HERV16-int,LTR,ERVL,5,656
chr1,166015086,166015232,+,HERV16-int,LTR,ERVL,704,868
chr1,171684990,171685063,-,HERV16-int,LTR,ERVL,-4341,655
chr1,171685375,171685649,-,HERV16-int,LTR,ERVL,-4405,591
chr1,172697061,172697492,-,HERV16-int,LTR,ERVL,-4198,798
chr1,173703505,173703658,-,HERV16-int,LTR,ERVL,-1770,3897
chr1,173703706,173703868,-,HERV16-int,LTR,ERVL,-1722,3504
chr1,173703976,173704767,-,HERV16-int,LTR,ERVL,-4404,822
chr1,177298473,177300644,-,HERV16-int,LTR,ERVL,-2823,2173
chr1,181230539,181230801,+,HERV16-int,LTR,ERVL,10,286
chr1,181231288,181231665,+,HERV16-int,LTR,ERVL,275,668
chr1,181231959,181232466,+,HERV16-int,LTR,ERVL,669,1197
chr1,181232480,181232588,+,HERV16-int,LTR,ERVL,1240,1352
chr1,181232673,181232968,+,HERV16-int,LTR,ERVL,1361,1679
